Tweet_count,Username,Text,Created At,Retweets,Likes,Replies,Hashtags,Image URL,Category
1,Summer's Savor,Chicken Bacon Ranch Stuffed Bread https://t.co/ijyBmAED1b,Thu Feb 27 22:52:00 +0000 2025,95,675,8,,https://pbs.twimg.com/media/GkwxLN1W8AAdUpQ.jpg,healthy habit
2,Food'a'holic🍜,Fish stew ❤️❤️ https://t.co/Up0m3b69PM,Fri Feb 28 10:59:22 +0000 2025,83,412,19,,N/A,healthy habit
3,Food'a'holic🍜,Sardine bread ❤️❤️ https://t.co/Cf91S3UpLh,Fri Feb 28 07:01:21 +0000 2025,38,185,20,,N/A,healthy habit
4,We Love Food,"Chili Lime Shrimp Ramen. 

EAT or PASS? https://t.co/zYRY0ZU8n2",Fri Feb 28 14:30:48 +0000 2025,7,65,14,,https://pbs.twimg.com/media/Gk4aoMDWAAA4z5D.jpg,unhealthy habit
5,Food Network,"""This is the world's ultimate culinary competition."" 🔥

@guyfieri's #TournamentOfChampions &gt; Sunday @ 8|7c https://t.co/aYRb18xlXU",Wed Feb 26 15:15:00 +0000 2025,15,125,7,TournamentOfChampions,N/A,healthy habit
6,Food Network,HUGE news from @guyfieri 🗣️ All four of the past TOC champions are moving on to other roles in the competition. They will NOT be battling this year! 😲 Hear more before Sunday's season premiere of #TournamentOfChampions @ 8|7c! https://t.co/AjgQTWfKDv,Thu Feb 27 23:15:00 +0000 2025,14,217,12,TournamentOfChampions,N/A,healthy habit
7,Food Crush,Cajun Salmon Bites 🔥 https://t.co/Zr05AW5xp7,Thu Feb 27 23:59:02 +0000 2025,339,3173,14,,https://pbs.twimg.com/media/Gk1TGu5XkAAxAgE.jpg,healthy habit
8,Food Network,You heard it from @GuyFieri: It's time to fill out your #TournamentOfChampions bracket! ✍️ Head to https://t.co/aKoRG0qzxB to get started. https://t.co/qrR68CFSos,Tue Feb 25 22:15:00 +0000 2025,46,74,5,TournamentOfChampions,N/A,healthy habit
9,World Food Programme,"Well-nourished children stay in school longer, develop the skills needed for better jobs, and drive economic growth. 🎒🍎✏️

WFP supports countries in Africa and around the world to ensure children get the nutrition they need to learn through #SchoolMeals programmes. 

#ADSF2025 https://t.co/VmilnCKumv",Fri Feb 28 09:40:13 +0000 2025,24,72,5,"SchoolMeals, ADSF2025",https://pbs.twimg.com/media/Gk3YIXtWkAAr9AA.jpg,healthy habit
10,Carolyne🌱⁷⁼¹,"While ordering food in LA hobi was nodding to the staff pretending to understand them but then one minute later he went ""what did they say"" like hes so real 😭https://t.co/hUZLLbyKBQ",Fri Feb 28 16:38:42 +0000 2025,27,109,3,,N/A,unhealthy habit
11,Disney Food Blog,We will never get over this picture perfect spot in the Magic Kingdom! 🩷🏰✨ https://t.co/0kFXbwYZpb,Thu Feb 27 17:16:21 +0000 2025,36,823,5,,https://pbs.twimg.com/media/Gkz2ln3XgAAQq9K.jpg,healthy habit
12,@Mews,"Advice for small creators: JUST UPLOAD‼️

Any one of your vids could go viral.. I’ve seen less effort vids blow up. You’ll never know who sees your content. Upload your workout. Upload pictures of your food. Upload your gaming clips. You’ll eventually be discovered. Stay active👍",Wed Feb 26 20:01:06 +0000 2025,29,258,20,,N/A,healthy habit
13,Food'a'holic🍜,Chicken and pasta ❤️❤️ https://t.co/p5TYQgxPQw,Thu Feb 27 16:00:14 +0000 2025,83,413,14,,N/A,healthy habit
14,Food Porn,Steak Egg and Cheese croissants https://t.co/mYsFZndEJX,Thu Feb 27 16:01:22 +0000 2025,82,804,18,,https://pbs.twimg.com/media/GkzlxSiXYAAptSn.jpg,healthy habit
15,Food Crush,Cheesy Pizza 🍕 https://t.co/QxklFGwcVf,Fri Feb 28 05:00:02 +0000 2025,145,1189,11,,https://pbs.twimg.com/media/Gk2X_tIWgAEcZlg.jpg,unhealthy habit
16,Summer's Savor,Mexican Chicken With Cheese Sauce https://t.co/ZoyEZPARH8,Thu Feb 27 07:51:00 +0000 2025,153,1134,16,,https://pbs.twimg.com/media/GkwwxG0XgAAjK3_.png,healthy habit
17,Talk Church,Is Food Controlling Your Life? https://t.co/SurByPDCME,Thu Feb 27 06:16:59 +0000 2025,291,1690,15,,N/A,unhealthy habit
18,Wes 🪐 ♱,MONTH 7 OF 12 NO FAST FOOD/SWEETS https://t.co/xnM027HvQP,Fri Feb 28 16:09:33 +0000 2025,2,41,2,,N/A,healthy habit
19,Food Network,".@Kardea_Brown tops her Red Velvet Sheet Cake with icing and crushed pecans, and the results are mouthwatering: https://t.co/JgZcPjEOuq 😋

Catch Kardea in the two-episode season finale of #KidsBakingChampionship, Monday @ 8|7c! https://t.co/vETHSui51P",Fri Feb 28 15:15:00 +0000 2025,4,25,2,KidsBakingChampionship,N/A,healthy habit
20,Plant Based News,The only difference between a dog and a pig (or any farmed animals tbh) is our perception that one is a friend and one is food 🥹🐷 https://t.co/0seOBMpzar,Thu Feb 27 16:01:44 +0000 2025,68,339,11,,https://pbs.twimg.com/media/Gkzl2zVWUAA4-Hj.jpg,unhealthy habit
21,Food Crush,Burgers 🍔 https://t.co/q1HScF4Ojj,Fri Feb 28 10:00:02 +0000 2025,78,801,8,,https://pbs.twimg.com/media/Gk3cqkxXMAAB8eg.jpg,unhealthy habit
